DEVID,DESCR_IF_MISC,ERROR_DESCRIPTION,DATE_OCCURRED,IDENTIFIED_BY,MODIFIED_BY,AFFECTED_TREATMENT,CORRECTED,WHYNOTCORRECTED,TX_INTENT,TX_METHOD,DEV_TYPE,ASSIGNED_USER,ASSIGNED_ROLE,ERROR_LEVEL_NAME,Sub_Desc,Att_Desc,Attribute,Stage1,Stage2,Approved_By1,Approved_By2,Role1,Role2,CUSTOM_CORRECTION,SELECTED_CORRECTION,DOC_TYPE,MOREINFO,GROUPID,ACTION,STATUS,ROLE_NAME1,ROLE_NAME2,ROLE_CODES,Attribute_Stage,SL,IS_POST,APPROVAL_ORDER,REG_VIOLATION,POSSIBLE_VIOLATION,CLIN_SIGNIFICANT,SIGNIFICANT_ERROR,MISADMIN,RECORDABLE,INTENT_METHOD_APPLICABLE,CORRECTION_ROLES
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Increased attention to detail,NA,Area monitor inoperable,A,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Increased attention to detail,NA,Area monitor inoperable,P,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Increased attention to detail,NA,Area monitor inoperable,R,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Area monitor inoperable,NA,3,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Area monitor inoperable,A,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Area monitor inoperable,P,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Area monitor inoperable,R,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Area monitor inoperable,NA,3,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Area monitor inoperable,A,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Area monitor inoperable,P,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,"The PrimAlert (area radiation monitor) located outside the linac door was not operational for approximately 2 months or longer before February 3, 2021.  Physics/RSO was not notified.  It was discovered by Physics during routine QA measurements.",2020-11-20T16:15:03Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Area monitor inoperable,11737,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Area monitor inoperable,R,2,4,Facility RSO,Radiation Services Director,B,11737AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Linac audio monitoring system inoperable,NA,3,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Linac audio monitoring system inoperable,A,2,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Linac audio monitoring system inoperable,P,2,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,Repair of instrumentation/devices/meter,NA,Linac audio monitoring system inoperable,R,2,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Linac audio monitoring system inoperable,NA,3,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Linac audio monitoring system inoperable,A,2,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Linac audio monitoring system inoperable,P,2,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,The audio system for the linac vault was inoperable for approximately 2 months.  Repairs were coordinated w/ an outside vendor and our service engineer.  The delay was due to availability of parts and coordination of the 3rd party repair.,2021-02-04T16:24:26Z,ekline,ekline,0,3,NA,0,0,1,ekline,NA,Radiation Safety,Equipment,Linac audio monitoring system inoperable,11747,A,R,agoudy,jfeng,R,A,NA,"Increased oversight, supervision, or leadership",NA,Linac audio monitoring system inoperable,R,2,4,Facility RSO,Radiation Services Director,B,11747AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,QA plan missing parameters,"Patient QA plan (Gouin, Michael MRN UA2831) could not be run on the 4DTC due to missing couch parameters.  Parameters were entered in the QA plan.  Then the plan was runj successfully.  Dosimetry notified to include these parameters.",2021-04-19T17:05:35Z,a,a,1,1,NA,0,0,2,NA,NA,Quality Assurance,IMRT,Custom attribute SL 3,12523,A,P,agoudy,agoudy,P,A,NA,Increased attention to detail,NA,Custom attribute SL 3,A,2,4,Physicist,Radiation Services Director,ABDEGKMNPRTUV,12523AP,3,1,AP,0,0,0,0,0,0,0,P
172,QA plan missing parameters,"Patient QA plan (Gouin, Michael MRN UA2831) could not be run on the 4DTC due to missing couch parameters.  Parameters were entered in the QA plan.  Then the plan was runj successfully.  Dosimetry notified to include these parameters.",2021-04-19T17:05:35Z,a,a,1,1,NA,0,0,2,NA,NA,Quality Assurance,IMRT,Custom attribute SL 3,12523,A,P,agoudy,agoudy,P,A,NA,Increased attention to detail,NA,Custom attribute SL 3,P,2,4,Physicist,Radiation Services Director,ABDEGKMNPRTUV,12523AP,3,1,AP,0,0,0,0,0,0,0,P
172,QA plan missing parameters,"Patient QA plan (Gouin, Michael MRN UA2831) could not be run on the 4DTC due to missing couch parameters.  Parameters were entered in the QA plan.  Then the plan was runj successfully.  Dosimetry notified to include these parameters.",2021-04-19T17:05:35Z,a,a,1,1,NA,0,0,2,NA,NA,Quality Assurance,IMRT,Custom attribute SL 3,12523,A,P,agoudy,agoudy,P,A,NA,"Increased oversight, supervision, or leadership",NA,Custom attribute SL 3,A,2,4,Physicist,Radiation Services Director,ABDEGKMNPRTUV,12523AP,3,1,AP,0,0,0,0,0,0,0,P
172,QA plan missing parameters,"Patient QA plan (Gouin, Michael MRN UA2831) could not be run on the 4DTC due to missing couch parameters.  Parameters were entered in the QA plan.  Then the plan was runj successfully.  Dosimetry notified to include these parameters.",2021-04-19T17:05:35Z,a,a,1,1,NA,0,0,2,NA,NA,Quality Assurance,IMRT,Custom attribute SL 3,12523,A,P,agoudy,agoudy,P,A,NA,"Increased oversight, supervision, or leadership",NA,Custom attribute SL 3,P,2,4,Physicist,Radiation Services Director,ABDEGKMNPRTUV,12523AP,3,1,AP,0,0,0,0,0,0,0,P
172,QA plan missing parameters,"Patient QA plan (Gouin, Michael MRN UA2831) could not be run on the 4DTC due to missing couch parameters.  Parameters were entered in the QA plan.  Then the plan was runj successfully.  Dosimetry notified to include these parameters.",2021-04-19T17:05:35Z,a,a,1,1,NA,0,0,2,NA,NA,Quality Assurance,IMRT,Custom attribute SL 3,12523,A,P,agoudy,agoudy,P,A,Table parameters entered in QA plan,Custom Attribute,NA,Custom attribute SL 3,A,2,4,Physicist,Radiation Services Director,ABDEGKMNPRTUV,12523AP,3,1,AP,0,0,0,0,0,0,0,P
172,QA plan missing parameters,"Patient QA plan (Gouin, Michael MRN UA2831) could not be run on the 4DTC due to missing couch parameters.  Parameters were entered in the QA plan.  Then the plan was runj successfully.  Dosimetry notified to include these parameters.",2021-04-19T17:05:35Z,a,a,1,1,NA,0,0,2,NA,NA,Quality Assurance,IMRT,Custom attribute SL 3,12523,A,P,agoudy,agoudy,P,A,Table parameters entered in QA plan,Custom Attribute,NA,Custom attribute SL 3,P,2,4,Physicist,Radiation Services Director,ABDEGKMNPRTUV,12523AP,3,1,AP,0,0,0,0,0,0,0,P
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 2/11/2021-4/8/2021.,2021-02-11T11:41:46Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) from 04/06//2021-4/13/2021.,2021-04-06T11:56:58Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Post correct CPT codes,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Post correct CPT codes,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance) beginning in February. All dates are not available.,2021-02-02T12:00:41Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All dates are not available.,2021-03-04T12:40:42Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code.,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,The CPT code realted to image guidance that was submitted for reimbursement was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All dates are not available.,2021-03-04T12:40:42Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code.,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
